Year,Sex,Occupation category,Occupation sub-category,Value
2011,Male,,,0.630112524835856
2011,Female,,,0.35269752200724414
2011,Male,Chief Executives and Senior Officials,,0.6463001493811353
2011,Male,Chief Executives and Senior Officials,Chief executives and senior officials,0.789073440807686
2011,Male,Production Managers and Directors,,0.9032332039358276
2011,Male,Production Managers and Directors,Production managers and directors in manufacturing,0.8991270222649367
2011,Male,Production Managers and Directors,Production managers and directors in construction,0.915514282830322
2011,Male,Production Managers and Directors,Production managers and directors in mining and energy,0.8407889385929239
2011,Male,Functional Managers and Directors,,0.644162979307601
2011,Male,Functional Managers and Directors,Financial managers and directors,0.5866689137945563
2011,Male,Functional Managers and Directors,Marketing and sales directors,0.7782029348430307
2011,Male,Functional Managers and Directors,Purchasing managers and directors,0.6432615013020342
2011,Male,Functional Managers and Directors,Advertising and public relations directors,0.6796090456113454
2011,Male,Functional Managers and Directors,Human resource managers and directors,0.43230949259614454
2011,Male,Functional Managers and Directors,Information technology and telecommunications directors,0.903726308436127
2011,Male,Functional Managers and Directors,Functional managers and directors n.e.c.,0.626866033640145
2011,Male,Financial Institution Managers and Directors,,0.6969700317025483
2011,Male,Financial Institution Managers and Directors,Financial institution managers and directors,0.6969700317025483
2011,Male,Managers and Directors in Transport and Logistics,,0.8521193789305881
2011,Male,Managers and Directors in Transport and Logistics,Managers and directors in transport and distribution,0.892216708908959
2011,Male,Managers and Directors in Transport and Logistics,Managers and directors in storage and warehousing,0.8134817804480932
2011,Male,Senior Officers in Protective Services,,0.8680354159064283
2011,Male,Senior Officers in Protective Services,Officers in armed forces,0.8617777076097253
2011,Male,Senior Officers in Protective Services,Senior police officers,0.8242146353553504
2011,Male,Senior Officers in Protective Services,"Senior officers in fire, ambulance, prison and related services",0.949773413897281
2011,Male,Health and Social Services Managers and Directors,,0.27377419083018906
2011,Male,Health and Social Services Managers and Directors,Health services and public health managers and directors,0.3295978450434272
2011,Male,Health and Social Services Managers and Directors,Social services managers and directors,0.20765329079232625
2011,Male,Managers and Directors in Retail and Wholesale,,0.6186784578877026
2011,Male,Managers and Directors in Retail and Wholesale,Managers and directors in retail and wholesale,0.6186784578877026
2011,Male,Managers and Proprietors in Agriculture Related Services,,0.5920728639889857
2011,Male,Managers and Proprietors in Agriculture Related Services,Managers and proprietors in agriculture and horticulture,0.8609047160731472
2011,Male,Managers and Proprietors in Hospitality and Leisure Services,,0.5835367006022958
2011,Male,Managers and Proprietors in Hospitality and Leisure Services,Hotel and accommodation managers and proprietors,0.5103773345835129
2011,Male,Managers and Proprietors in Hospitality and Leisure Services,Restaurant and catering establishment managers and proprietors,0.5845899884001071
2011,Male,Managers and Proprietors in Hospitality and Leisure Services,Publicans and managers of licensed premises,0.5807515812972839
2011,Male,Managers and Proprietors in Hospitality and Leisure Services,Leisure and sports managers,0.6394212118861045
2011,Male,Managers and Proprietors in Health and Care Services,,0.2741023838809817
2011,Male,Managers and Proprietors in Health and Care Services,Health care practice managers,0.2223951902947018
2011,Male,Managers and Proprietors in Health and Care Services,"Residential, day and domiciliary care managers and proprietors",0.2934981777178181
2011,Male,Manager and Proprietors in Other Services,,0.6762174792147053
2011,Male,Manager and Proprietors in Other Services,"Property, housing and estate managers",0.6565464326924518
2011,Male,Manager and Proprietors in Other Services,Garage managers and proprietors,0.96406758642071
2011,Male,Manager and Proprietors in Other Services,Hairdressing and beauty salon managers and proprietors,0.3357948717948718
2011,Male,Manager and Proprietors in Other Services,Shopkeepers and proprietors - wholesale and retail,0.6975057570954332
2011,Male,Manager and Proprietors in Other Services,Waste disposal and environmental services managers,0.9469912723932017
2011,Male,Manager and Proprietors in Other Services,Managers and Proprietors in Other Services,0.6357814563504713
2011,Male,Natural and Social Science Professionals,,0.5452395928853455
2011,Male,Natural and Social Science Professionals,Chemical Scientists,0.5611956521739131
2011,Male,Natural and Social Science Professionals,Biological scientists and biochemists,0.4599573145402719
2011,Male,Natural and Social Science Professionals,Physical scientists,0.7909272467902996
2011,Male,Natural and Social Science Professionals,Natural and social science professionals n.e.c,0.6162209814869233
